"dgp","n","rep","model","auc","logloss","acc","t_fit"
"ringnorm",1500,5,"ranger",0.991188816727388,0.236874596408197,0.944444444444444,0.262172222137451
"waveform",1500,5,"ares",0.938457920950813,0.380514248852158,0.888888888888889,0.0883464813232422
"waveform",1500,5,"earth",0.95128364079434,0.289291544645104,0.875555555555556,0.0191097259521484
"waveform",1500,5,"ranger",0.960240268485069,0.292374795123777,0.871111111111111,0.206714868545532
"twonorm",500,6,"ares",0.982706364770904,0.794179311367671,0.946666666666667,0.0287544727325439
"twonorm",500,6,"earth",0.969691567124265,0.311291627459608,0.906666666666667,0.0122649669647217
"twonorm",500,6,"ranger",0.996434302014619,0.265561120412274,0.96,0.0500829219818115
"threenorm",500,6,"ares",0.825475893969045,0.693324413272402,0.74,0.025306224822998
"threenorm",500,6,"earth",0.778687066358299,0.709456409858505,0.706666666666667,0.00796914100646973
"threenorm",500,6,"ranger",0.838107098381071,0.519606713973102,0.733333333333333,0.0580723285675049
"ringnorm",500,6,"ares",0.977268675343198,0.990979287118793,0.96,0.0296492576599121
"ringnorm",500,6,"earth",0.977179532893564,0.192578818449487,0.926666666666667,0.00902962684631348
"ringnorm",500,6,"ranger",0.996969156712426,0.291793425712641,0.96,0.0655417442321777
"waveform",500,6,"ares",0.910539215686274,0.603950650376945,0.82,0.0321903228759766
"waveform",500,6,"earth",0.906862745098039,0.476102024559788,0.826666666666667,0.0102083683013916
"waveform",500,6,"ranger",0.951388888888889,0.338540737672161,0.866666666666667,0.049328088760376
"twonorm",1500,6,"ares",0.995812014776476,0.0886192794086491,0.962222222222222,0.0731008052825928
"twonorm",1500,6,"earth",0.969360542067521,0.242640583745151,0.906666666666667,0.0189857482910156
"twonorm",1500,6,"ranger",0.993994587226645,0.25851815478529,0.964444444444444,0.211862087249756
"threenorm",1500,6,"ares",0.913928352664546,0.376027420751436,0.828888888888889,0.0732951164245605
"threenorm",1500,6,"earth",0.836392736469798,0.516881244871663,0.771111111111111,0.0185751914978027
"threenorm",1500,6,"ranger",0.921575213894762,0.437732943509791,0.831111111111111,0.26767110824585
